Ticket Nr.;Rating (1= sehr gut, 2= mittel, 3=nicht brauchbar);Ticket type;Mandant;Ticket text;Status;Template
2019030563000127; ;Fehler in der App;SVBA; Ich kann die Bilder in übungen nicht Bearbeiten. Ich habe das Beook schonn mit einem Zeichnungsprogramm verknüpft und teilweise funktioniert es auch. ;closed_waiting_for_reply;Coupon einlösen Produkte nicht vorhanden
2019030563000118; ;Fehler in der App;hep;" Ich wollte das Lehrmittel aktualisieren jedoch geht dies nicht. Es kommt dann gleich eine Fehlermeldung beim aktualisieren des ersten Hefts \""ein Haus entsteht\"". Zur Zeit kann ich gar nichts mehr öffnen. Können sie das Problem bitte so schnell wie möglich beheben da ich die unterlagen in der Schule und zum Lernen benötige. Vielen Dank. Freundliche Grüsse ";new;Mac: Access Denied -> Cookies Virenscanner
2019030563000083; ;Anmeldung / Aktivierung;hep;Ich habe ein Problem bei der Anmeldung denn man kann den Coupong nicht mer enziffern da ichdas Buch eingefasst habe. Ich hoffe es gibt einen Weg dass ich einen neuen code bekomme oder sonst was. ;new;Mac: Access Denied -> Cookies Virenscanner
2019030563000047; ;Anmeldung / Aktivierung;VELEDES;Musste mich neu anmelden und nun steht bei ABK Auszug der Aktivierungscode wurde jedoch mehrmal neu eingeben funktioniert immer noch nicht. Ich wäre froh wenn sie den Aktivierungscode auf die neue Adresse laden würden.;new;Mac: Access Denied -> Cookies Virenscanner
2019030563000038; ;Geräteanzahl überschritten;VELEDES;Ich habe es noch nicht heruntergeladen aber es kommt immer die Meldung: Gerätezahlen überschritten;new;Mac: Access Denied -> Cookies Virenscanner
2019030563000029; ;Fehler in der App;SVBA;   Bei mir erscheinen eingefügte Bilder im Fachrechnungsbuch 5.2 In dem hinzugefügten Abschnitt nur noch weiss mit einem schwarzen Rahmen. Und in dieses suport feld kann ich kein Screenhot einfügen ;closed_waiting_for_reply;Coupon einlösen Produkte nicht vorhanden
2019030463000111; ;Fehler in der App;FOMA;Lückentexte weg Daten verloren gegangen von PP 1.3.3 von Rabatt ;closed_waiting_for_reply;Coupon einlösen Produkte nicht vorhanden
2019030463000021; ;Fehler in der App;Swissmem;Ich habe meinen Laptop neu aufgesetzt und nun die Swissmem-APP wieder installiert. Alle meine Bücher sind wieder vorhanden aber beim Prüfungsbuch Metall 30. Auflage wird mir kein richtiges Deckblatt angezeigt nur ein weisses mit dem Swissmem-Logo drauf. Bei der 29. Auflage wird alles richgig angezeigt. Woran liegt das? ;new;Mac: Access Denied -> Cookies Virenscanner
2019030163000081; ;Anmeldung / Aktivierung;Swissmem; Die Swissmem-app synchronisiert sich nicht mehr. Ein gekauftes Buch welches ich auf dem PC aktiviert habe erschein nicht in der Auswahl. Weiter komm ich auch nicht mehr in die Einstellungen der app. MfG Michael Malner ;new;Mac: Access Denied -> Cookies Virenscanner
2019022863000112; ;Anmeldung / Aktivierung;AGVS;Bitte deaktivieren Sie dieses Gerät. Vielen Dank. ;closed successful;Linux
2019022863000103; ;Anmeldung / Aktivierung;BEOOK; Diese sind meine aktivierungscodes: Gesellschaft: 36837eb23e62 noch nicht aktiv und ich hatte noch ein lehrmittel vom garten aber der code steht nirgends ;closed successful;Anmeldung - Hinweise für Aktivierung
2019022863000051; ;Anmeldung / Aktivierung;hep;  Lösungen können nicht angeschaut werden ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019022863000023; ;Geräteanzahl überschritten;BEOOK; Ich habe einen neuen Laptop und möchte den alten zurücksetzen damit ich das E-Lehrmittel auf meinem neuen Gerät freischalten kann. Können Sie mir helfen? Vielen Dank! ;closed successful;Anmeldung - Hinweise für Aktivierung
2019022763000114; ;Anmeldung / Aktivierung;SFF;ich möchte gerne diese Plattform beook auf ein weiteres Gerät freischalten. Jedoch finde ich das Lizenzblatt nicht mehr. Möchte sie daher bitten mir einen Aktivierungscode zuzustellen. Besten Dank ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019022763000098; ;Geräteanzahl überschritten;SFF; Offenbar habe ich die Geräteanzahl überschritten. Ich habe einen neuen Laptop gekauft und möchte mit dem Fachkundebuch auf dem neuen Laptop arbeiten. Was muss ich nun machen damit ich Zugriff habe? Vielen Dank für ihr Feedback. Freundliche Grüsse ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019022763000089; ;Geräteanzahl überschritten;BEOOK; Offenbar habe ich die Geräteanzahl überschritten. Ich habe einen neuen Laptop gekauft und möchte mit dem Fachkundebuch auf dem neuen Laptop arbeiten. Was muss ich nun machen damit ich Zugriff habe? Vielen Dank für ihr Feedback. Freundliche Grüsse ;closed successful;Anmeldung - Hinweise für Aktivierung
2019022763000071; ;Anmeldung / Aktivierung;hep; Das Problem können wir nicht beheben da die eLehrmittel nicht mehr erscheinen und kein Download möglich ist. Vielen Dank für die Hilfe. ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019022763000043; ;Anmeldung / Aktivierung;VELEDESLK;Wenn ich mich anmelde und den Aktivierungscode eingeben muss steht dass ungültig ist. Mein Aktivierungscode ist: 8cur-mstc-8joe. ;open;Coupon einlösen Produkte nicht vorhanden
2019022763000016; ;Fehler in der App;SVBA; Zeichnungen werden vom Inkscape manchmal nicht übernommen ausserdem verschwinden viele ausgefüllte sachen trotz der Synchronisierung der Cloud ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019022663000171; ;Anmeldung / Aktivierung;DIHK;Ich werde ein der IHK Hannover meinen Technischen Fachwirt schreiben und wüsste gerne wo ich meinen Aktivierungscode herbekommen kann.;new;Linux
2019022663000125; ;Fehler in der App;SVBA;Ich habe einen Anzeige Fehler bei mehreren Büchern. Mir wird auch duch mehrmaliges aktualisieren keine Informationen bzw. die Azfaben die im Buch sind angezeigt. Ist es möglich das ich dies selber beheben kann? Freundliche Grüsse ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019022663000116; ;Fehler in der App;SVBA;Ich habe einen Anzeige Fehler bei mehreren Büchern. Mir wird auch duch mehrmaliges aktualisieren keine Informationen bzw. die Azfaben die im Buch sind angezeigt. Ist es möglich das ich dies selber beheben kann? Freundliche Grüsse ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019022663000107; ;Anmeldung / Aktivierung;BWZ; Guten Tag ;open;Linux
2019022663000091; ;Geräteanzahl überschritten;SVBA;Geräteanzahl wurde überrschritten ohne dass ein anderes Gerät verwendet wird.;closed successful;Coupon einlösen Produkte nicht vorhanden
2019022663000081; ;Anmeldung / Aktivierung;BWZ; Guten Tag Bei mir funktioniert das Beook tiptop. Ich schreibe im Auftrag von Nicole Boschung. ;closed successful;Linux
2019022663000072; ;Anmeldung / Aktivierung;BWZ; Ich kann in meinem beook keine Lehrmittel ehr besichtigen. Bei meinen mitschühlern funktiorniert es ausser bei Dario auch nicht. So mit kann ich mich nicht mehr informieren und nicht vollständig in der Klasse mitarbeiten habe auch keinen aktivierungscood enthalten was muss und kann ich tun ? Ich habe vorhin auch direkt bei euch angerufen. und man hat mich gbitet erneut eine subbrotanfrage zu machen. Liebe grüsse Boschung Nicole  ;closed successful;Linux
2019022563000083; ;Fehler in der App;hep;" leider kann ich die integrierten Videos der App Injektionen auf meinem Endgerät Laptop nicht abspielen. Das Programm meldet folgende Fehlermeldung: \""no compatible source was found for this video\"". Ich habe es sowohl mit Java als auch mit Adobe flash ausprobiert. Über Ihre Hilfe und einen Lösungsweg freue ich mich. Mit freundlichen Grüßen ";closed successful;Mac: Access Denied -> Cookies Virenscanner
2019022563000074; ;Geräteanzahl überschritten;DIHK; hab mir einen neuen Laptop gekauft und da steht Geräteanzahl überschritten. Können sie mir helfen? ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019022563000065; ;Anmeldung / Aktivierung;RICHM;"Ich wollte heute das beook auf meinem Laptop aktuallisieren. Trotz löschen des alten Programms und erneutem Download kann ich die neuste Version nicht auf meinem Laptop laden. Auf dem PC für die Schulung der Lernenden funktioniert es einwandfrei. Als Fehlermeldung wird \""Gerätezahl überschritten\"" angegeben. Ich habe aber das beook nur auf dem Schulungspc und dem Laptop installiert also zwei Geräte. Den Laptop benötige ich für eine Weiterbildung am 16. März in Bern. Wo liegt mein Fehler?? Freundliche Grüsse Balz Wyss ";closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019022563000056; ;Geräteanzahl überschritten;SVBA;" In meinem Beook funktionieren die Inhalte des FR Fachrechenbuches nicht mehr. Es erscheint die Meldung \""Geräteanzahl überschritten\"". Nach meinem Wissen ist dieses Lizenz jedoch nur auf meinem Lap Top und sonst nirgends installiert. Können SIe mit das FR-Buch wieder freischalten? ";closed successful;Coupon einlösen Produkte nicht vorhanden
2019022563000038; ;Geräteanzahl überschritten;BEOOK; Bitte das ipad aktiviert lassen und die anderen deaktivieren. Freundliche Grüsse ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019022463000049; ;Geräteanzahl überschritten;DIHK; Hallo zusammen Ich würde gerne die Lizenzen bei dem Geräten Samsung Galaxy Tab A und Samsung Galaxy 7 entfernen lassen. Beim Samsung Galaxy Tab 2 soll sie bleiben. Vielen Dank im voraus und viele Grüße ;closed successful;Mac: Access Denied -> Cookies Virenscanner
