Ticket Number,ticket,Customer,count of replies,ticket,ticket_state,ticket_template
2.02E+15,Fehler in der App,Swissmem,1,"Normenauszug 2018, Rechenbuch Metall, Tabellenbuchs Metall, Fechkundebuch Metall, MachineWorld, Topdesign, Automation Control, Konstrukteur 1, Konstrukteur 2 und Konstrukteur 3 funktionieren nicht mehr. Es kommt die Meldung „nicht mehr Seiten kostenlos verfügbar“. Habe alle Bücher bezahlt und bis vor kurzem haben alle funktioniert.",closed successful,5
2.02E+15,Fehler in der App,SVBA,1, Ich kann die Bilder nicht mehr öffnen um mit dem Editorprogramm diese zu bearbeiten.,closed successful,2
2.02E+15,Fehler in der App,hep,1,"Leider fehlen mir paar Kapitel im Lehrmittel (LM-A, D). Eins davon brauche ich jetzt in der Schule (Heizungs- und Lüftungsanlagen)Ich habe die App mehrfach gelöscht und neu installiert, funktioniert trotzdem nicht. Computer habe ich auch schon heruntergefahren. Ich bitte Sie um Hilfe. Ich wünsche Ihnen einen schönen Tag.",closed successful,5
2.02E+15,Anmeldung / Aktivierung,AGVS,1,"Ich kann im FK z.b. die Seite 605 nicht lesen weil da steht, Alle Seiten des Auszugs sind genutzt.",closed successful,4
2.02E+15,Anmeldung / Aktivierung,SVBA,1,Ich kann das Kapitel Technisches Englisch nicht herunterladen es Steht immer unvollständige Installation,closed successful,2
2.02E+15,Geräteanzahl überschritten,DIHK,1,Bitte iphone und ipad entfernen.,closed successful,5
2.02E+15,Fehler in der App,BWZ,1," Mein problem ist, dass ich selbst wenn ich mit dem internet verbunden bin nur 10 Seiten anschauen kann .Und das andere Problem,das ich noch habe ist das ich nicht mehr zwischen z.B dem Wissen und derm Darstellen wechseln kann.",closed_max_devices,4
2.02E+15,Geräteanzahl überschritten,VELEDES,1,"Nun konnte ich das Buch Spezielle Branchenkunde freischalten, aber es steht, ich hätte die Geräteanzahl überschritten, dabei konnte ich das Buch vorher gar nie vollständig installieren. Können Sie den Zähler zurücksetzen? ",closed_waiting_for_reply,5
2.02E+15,Fehler in der App,hep,1,"Ich kann in der Klasse F(18)-KSS den Bildschirm nur verschieben, wenn ich zwei Finger verwende. Der Balken rechts zum Scrollen funktioniert nicht.Besten Dank für Ihre Unterstützung.",closed successful,5
2.02E+15,Geräteanzahl überschritten,DIHK,1,Ich würde gerne die Lizenzen bei dem Geräten Samsung Galaxy Tab A und Samsung Galaxy 7 entfernen lassen.  Beim Samsung Galaxy Tab 2 soll sie bleiben.,closed successful,5
