ticket,type,client,issuer,inquiry,state,meta,answer
2015081263000080,Fehler in der App,hep,3,"habe soeben gesb ah gelöscht und danach die app abgeschossen damit es den katalog neu lädt. nach dem neustart war gesb ah aber wieder da einfach leer. lässt sich über die schnellzugriffleiste öffnen aber im portal steht nur \""herunterladen\"" zur verfügung ",closed successful,User account exists: Yes | | App: eLehrmittel ABU v3.1.0 | Jailbroken: No | Model: iPad | Platform: iPad34 | System Name: iPhone OS | System Version: 8.1.3 | First install: 2015-07-02 11:10:06 CEST | Application starts: 3 | Unique Device : 94ff508d24d2ddaeac0425c3c7ed4fda | ,Workspace in Dropbox kopieren für Support
2015081763000050,Anmeldung / Aktivierung,AppInbox,3,das elehrmittel funktioniert auf meinem gerät nicht!,closed successful,App: eLehrmittel 3.0.9 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-08-17 10:37:10 MESZ | Last install: | Application starts: 2 | Unique Device : d1f3893d815e003a63bad682d427ffb3 | ,beook Cloud synchronisieren
2015081763000110,Anmeldung / Aktivierung,AppInbox,3,als ich die software gestartet habe funktionierte dies nich.,closed successful,App: eLehrmittel 3.0.9 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-01-24 02:22:07 MEZ | Last install: | Application starts: 14 | Unique Device : 4ed3ef4dc7395bdb001d8f5c51f939ae | ,RCP: Dropbox - ebookAktualisierung - Datenverlust
2015082463000180,Anmeldung / Aktivierung,Swissmem,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. guten nachmittag seit installation der neuen version sind ohne internetverbindung nur noch wenige kaptitel anwählbar. nach anmeldung sind alle kaptilel sichtbar. aktivierungscode aho4-p0ft-06e1 freundliche grüsse,closed successful,App: Swissmem eBOOK 3.2.1 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2013-11-21 07:09:21 MEZ | Last install: 2015-08-20 12:13:25 MESZ | Application starts: 182 | Unique Device : 14250555422a5f6c0bf453c29f815325 | ,Anmeldung mit falscher E-Mail
2015082463000200,Anmeldung / Aktivierung,hep,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. ich habe ein problem mit dem coupon-cod. fehlermeldung: ungültiger aktivierungscode.,closed successful,App: eLehrmittel 3.2.0 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-08-24 20:40:36 MESZ | Last install: | Application starts: 1 | Unique Device : 8aafc5028b9f45efab450935274a80ab | ,"Anderer Anbieter, falsches Login"
2015082563000030,Anmeldung / Aktivierung,AppInbox,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code ich kann auf meinem windows- pc die hep app nicht richtig verwenden. habe sie mehrmals installiert und wieder desinstalliert. ich kann mich nirgends anmelden und dadurch auch keinen coupon eingeben das feld erscheint gar nirgends. bei meinem surface windows funktioniert es. in der klasse bei meinen schülern ist dasselbe problem bei drei weiteren lernenden aufgetreten. nirgends besteht die möglichkeit sich anzumelden. bei den restlichen lernenden funktionierts. dafür fukntionieren ettliche coupons nicht. folgende coupons funktionieren überhaupt nicht: fc59c78baada eb3127ede263 b9dc6dbf1b8d 6e1653844af8 e0418df13aed bbb20118dd7b ef00e607915a dd0164702080 bei den nachfolgenden coupons hat es falsche bücher oder die falsche audgabe des buches gesellschaft a aufgeschaltet z.b. ausgabe c statt a 9ed3e394f4b6 100af72dc439 94f8d7131788 297ed6046348 345bf7f3918a 6a5bd2830828 87a1d56b?97a63,closed successful,App: eLehrmittel 3.0.10 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-06-28 13:50:34 MESZ | Last install: 2015-08-04 19:24:52 MESZ | Application starts: 7 | Unique Device : 19f282306e0f183f2fa083dbeaaa175b | ,"Altes Ticket, Problem gelöst?"
2015082563000040,Fehler in der App,Swissmem,3,bitte üperprüfen sie ob sich der fehler reproduzieren lässt. beschreiben sie dann bitte die letzten aktionen die sie vor dem absturz getätigt haben.,closed successful,App: Swissmem eBOOK 3.2.1 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-08-25 13:18:02 MESZ | Last install: | Application starts: 10 | Unique Device : 01d40292a84256769e5ffcdbcb0028f5 | ,Benutzername angepasst
2015082563000080,Anmeldung / Aktivierung,hep,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. grüezi mit dem coupon-code cqxzi3ubg87n wird es nicht freigeschaltet. coupon für die neue konstruktionslehre für den hochbau elehrmittel freundliche grüsse,closed successful,App: eLehrmittel 3.2.0 | Model: 8 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-08-22 15:32:16 MESZ | Last install: | Application starts: 5 | Unique Device : 0758982f0cbf3692c8d7fbe835b34f1d | ,"App unvollständig initialisiert, db und Catalog löschen"
2015082663000050,Anmeldung / Aktivierung,hep,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. sehr geehrtes hep team kürzlich habe ich von meinem geografie- lehrer das lehrmittel geografie wissen und verstehen inkl. e-learning bekommen. leider bekomme ich anstatt dem geografie- lehrmittel vier andere welche ich gar nicht gekauft habe. zu den nicht gekauften lehrmittel gehören: gesellschaft gesetzestexte lexikon allgemeinbildung und sprache und kommunikation. mein code lautet 67c56fbc4650 und sollte das geografie-lehrmittlel beinhalten. freundliche grüsse,closed successful,App: eLehrmittel 3.2.0 | Model: 8 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.5 | First install: 2015-08-20 09:39:54 MESZ | Last install: | Application starts: 5 | Unique Device : 786dab575167ee94dafba44ea96a7749 | ,"App unvollständig initialisiert, db und Catalog löschen"
2015082863000030,Anmeldung / Aktivierung,AppInbox,3,leider funktioniert dieser code noch immer nicht. lehrmittel sprache und kommunikation. habe diesen von ihnen bekommen weil die installierten bücher nicht mehr funktionierten. kann dieses lehrmittel jedoch nicht installieren. fehlermeldung: code sei ungültig darf ich sie bitten mir nochmals einen zuzusenden. besten dank,closed successful,App: eLehrmittel 3.1.1 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.3 | First install: 2015-05-27 19:07:47 MESZ | Last install: 2015-08-11 15:08:43 MESZ | Application starts: 42 | Unique Device : 10825bd1fb7bbada9fff2e2a743aa7d8 | ,"App unvollständig initialisiert, db und Catalog löschen"
