name;text
Abmelden, neu anmelden;"Sie sind aktuell nicht mehr korrekt in der App angemeldet. Daher können die Seiten nicht mehr angezeigt werden oder neue ebooks nicht mehr installiert werden.<br /><br />Bitte melden Sie sich in der App ab. Navigieren Sie dazu ins Portal mittels dem Haus-Symbol in der Seitenleiste oben links. Danach klicken Sie oben rechts auf Ihren Benutzernamen und wählen anschliessend «Abmelden». Bei der darauffolgenden Frage wählen Sie «Gerät abmelden».<br /><br />Nun können Sie sich wieder neu anmelden. Sollten Sie Ihr Passwort vergessen haben, dann klicken Sie auf «Passwort vergessen». Sie erhalten eine Email mit dessen Link Sie sich ein neues Passwort setzen können. Geben Sie dieses neue Passwort anschliessend in der App ein.<br /><br />Sollte dies nicht zum Ziel führen, so senden Sie bitte nochmals eine neue Support-Anfrage damit wir die Protokolldatei untersuchen können.<br />&nbsp;"
Abmelden, neu anmelden (FR);"Vous n'êtes actuellement plus correctement connecté à l'application. Par conséquent, les pages ne peuvent plus être affichées ou de nouveaux ebooks ne peuvent plus être installés.<br /><br />Veuillez vous déconnecter de l'application.&nbsp; Pour ce faire, naviguez jusqu'au portail à l'aide du symbole de la maison dans le coin supérieur gauche de l'encadré. Cliquez ensuite sur votre nom d'utilisateur dans le coin supérieur droit et sélectionnez ""Déconnexion"". A la question suivante, sélectionnez ""Déconnexion de l'appareil"".<br /><br />Vous pouvez maintenant vous réinscrire. Si vous avez oublié votre mot de passe, cliquez sur ""Mot de passe oublié"". Vous recevrez un email avec un lien pour définir un nouveau mot de passe. Puis entrez ce nouveau mot de passe dans l'application.<br /><br />Si ce n'est pas le cas, veuillez nous envoyer à nouveau une nouvelle demande d'assistance pour que nous puissions examiner le fichier journal.<br /><br />Meilleure salutation"
Aktivierungscode falsch;Wir können leider keinen Aktivierungscode im System finden, der dem von Ihnen genannten entspricht.<br /><br />Bitte prüfen Sie die korrekte Schreibweise. Der Code muss genau so wie auf dem Lizenzblatt abgedruckt eingegeben werden, unter Beachtung der Gross/Kleinschreibweise und Zahlen/Buchstaben.<br /><br />Falls Sie nach der Prüfung der richtigen Eingabe nicht weiter kommen, so senden Sie bitte einen Scan oder ein Foto Ihres Lizenzblattes als Antwort auf diese E-Mail. Damit werden wir prüfen, woran es liegen könnte.
Altes Ticket, Problem gelöst?;Wir haben festgestellt, dass Sie noch ein offenes Ticket bei uns haben.<br /><br />Hat sich Ihr Problem in der Zwischenzeit gelöst? Falls nicht, so bitten wir Sie, uns nochmals eine neue Support-Anfrage mit einer genauen Beschreibung des Problems zu senden, nachdem das Problem wieder aufgetreten ist.<br />Damit erhalten wir die neuesten Log-Dateien und können gegebenenfalls den Fehler so erkennen.<br /><br />Besten Dank.
Anderer Anbieter, falsches Login;"Sie sind beim falschen Anbieter angemeldet!<br />In beook können Sie sich bei verschiedenen anmelden. Sie haben&nbsp;das ebook direkt im Web-Shop bei diesem Anbieter&nbsp;erworben und daher keinen beook-Aktivierungscode erhalten.&nbsp;<br /><br />Falls Sie nun schon mit einem beook Konto angemeldet sind, gehen Sie wie folgt vor:<br />1. Klicken Sie auf das Portal (Haus-Symbol oben links).<br />2. Klicken Sie auf Ihren Benutzernamen oben rechts<br />3. Klicken Sie auf Anmelden bei anderem Anbieter.<br />5. Wählen Sie das entsprechende Logo ihres Anbieters aus.<br />6. Geben Sie den Benutzernamen und das Passwort ihres Web-Shop Logins ein.<br /><br />Falls Sie noch kein beook Konto haben, führen Sie folgende Schritte aus:<br />1. Wählen Sie im Portal oben rechts den Button Anmelden (oder wenn noch geöffnet auf der Startseite)<br />2. Wählen Sie das entsprechende Logo ihres Anbieters aus.<br />3. Geben Sie den Benutzernamen und das Passwort ihres Web-Shop Logins ein.<br /><br />Wenn Sie die beook Cloud nutzen möchten und sich bisher nur bei ihrem Anbieter angemeldet haben, müssen Sie ein beook Konto erstellen.<br /><br />Sollten Sie weiterhin nicht anmelden können, so senden Sie uns bitte nochmals eine Support-Anfrage aus der App, damit wir die übermittelte Protokolldatei untersuchen können."
Android: alte beook version -> updaten!;Vielen Dank für ihre Support-Anfrage.<br />Ihre beook-App ist nicht auf dem neusten Stand. Es kann daher zu Kompatibilitätsproblemen mit der Datenbank kommen. Bitte aktualisieren Sie beook im Google Play Store.<br /><br />Falls das Problem nach dem Update weiterhin besteht sende Sie uns bitte erneut einen Fehlerbericht aus der App.
Android: Neue Version updaten;Besten Dank für Ihren Bericht. Es ist eine neue Version der App für Android erschienen, welche das gemeldete Problem wahrscheinlich behebt.<br /><br />Bitte aktualisieren Sie diese neue Version via Software Update im Google Play Store.<br /><br />Falls der Fehler danach immer noch auftritt so senden Sie bitte nochmals eine neue Support-Anfrage. Besten Dank für Ihre Mithilfe.
Anmeldung - Hinweise für Aktivierung;"Sie haben ein Lizenzblatt erhalten auf welchem sich ein Aktivierungscode befindet.<br /><br />Geben Sie in der App einen frei wählbaren Benutzernamen und ein Passwort sowie diesen Aktivierungscode ein.<br /><br />Wenn Sie sich auf einem weiteren Gerät neu anmelden möchten (sofern Ihre Lizenz für mehrere Geräte ausgestellt ist), so wird der Aktivierungscode nicht nochmals benötigt. Geben Sie dort nur den Benutzernamen und das Passwort ein.<br /><br />Sollten Sie ein weiteres ebook erworben haben, so geben Sie dessen Aktivierungscode in der Anmeldemaske ein. Damit wird der Titel Ihrem bestehenden Login hinzugefügt.<br />&nbsp;"
Anmeldung mit falscher E-Mail;"Sie haben eine falsche E-Mail Adresse eingegeben. Deshalb konnten Sie sich nicht anmelden.<br /><br />Ihre E-Mail Adresse für die App lautet: XXXXXX@XXX.XX<br /><br />Den Aktivierungscode müssen Sie nicht nochmals eingeben. Dieser ist bereits mit Ihrem Konto verknüpft.<br /><br />Wenn Sie Ihr Passwort nicht mehr wissen, so können Sie dieses über den ""Passwort vergessen"" Link im Anmelde-Dialog zurücksetzen.<br /><br />Sollte es immer noch nicht funktionieren, senden Sie bitte nochmals eine neue Support-Anfrage."
Anmeldung mit falscher E-Mail (FR);Bonjour<br /><br />La connexion avec votre compte n'était pas possible dû à une adresse d'email non-registré.<br /><br />Votre adresse d'email qui est registrée pour cette application est: XXX<br /><br />Le code d'activation ne doit être inséré qu'une seule fois. Suite à l'insertion ce code reste lié à votre compte.<br /><br />En cas de perte du mot de passe, le bouton «Mot de passe oublié» au dialogue «Login» vous permet de réinitialiser ceci.<br /><br />Si vous n'arrivez pas encore à vous connecter, nous vous prions de nous envoyer à nouveau une demande de support via l'application.
