lückentxte,lückentexte
datenn,daten
apgemeldet,abmelden
aplikation,applikation
gruess,gruss
allgemeinbildenden-unterricht,allgemeinbildender unterricht
remoteddesktop,remote desktop
fahrwerkapp,fahrwerk applikation
auset,ausser
kt,akt
demosei,demo
coupen-cod,coupon code
ersatzpc,ersatz computer
coudfunktion,cloud funktion
indermaur,in der
grundlagebuch,grundlage buch
alexandra,alexandra
log-,log
prolbl,problem
lizens,lizenz
eifach,einfach
angestrich,anstreichen
app-zeich,applikation zeichnen
daamit,damit
occured,aufgetaucht
abgestutzt,abgestürzt
gleih,gleich
aktivitungscod,aktivierungscode
fruendlich,freundlich
bernutzernam,benutzernamen
fehlerprotokoll,fehler protokoll
konntet,können
geraeteanzahl,geräteanzahl
markierfunktion,markier funktion
installationsversuch,installation versuch
angemold,anmelden
evt,eventuell
stimmt?,stimmen
schieck,schicken
gewoht,gewöhnen
cloud-funktion,cloud funktion
far-los,farblos
softwarstand,software stand
javax.net.ssl.sslhandshakeexception,ssl exception
passwortzurucksetz,passwort zurücksetzen
kaput,kaputt
sensoren+aktor,sensor aktor
nocheinmal,noch einmal
daruf,darauf
macbook?,macbook
aspiration/,aspiration
herunterrlad,herunterladen
locat,lokal
installationsprgramm,installationsprogramm
verchied,verschieden
problehm,problem
internetverbing,internetverbindung
koonn,können
authorisiert,autorisieren
norme-auuszug,normen auszug
screenhot,screenshot
..mehr,mehr
anderun,andere
sost,sonst
geschrib,schreiben
troz,trotzdem
mail-adressexxx,e-mail
konnnt,können
kollega,kolleg
xxft,oft
unterrichtseb,unterrichten
e-mail-verkehr,e-mail verkehr
grateanzahl,geräteanzahl
vollzug,vollzug
furr,für
trozd,trotzdem
lehrgangsunterlag,lehrgangsunterlagen
aufbeheb,aufheben
freunlich,freundlich
pangsioniert,pensionieren
anderort,anderer ort
bucherzugriff,bücher zugriff
ubershchritt,überschreiten
fr-buch,französisch buch
bgut,gut
kapit,kaputt
berufslehr,berufslehre
synkronisiert,synchronisiert
normen-auszug,normen auszug
koennt,können
zweitgerat,zweitgerät
ploetzlich,plötzlich
neuaufsetz,nau aufsetzen
ichhab,ich habe
natel,smartphone
protokoll-datei,protokoll datei
problemanfrag,problem anfrage
waage+dosiergerat,waage dosiergerät
durchklick,durch klicken
schulkollegin,schulkollegin
angemuld,anmelden
teanzahl,geräteanzahl
couponscod,coupon code
dasssss,dass
eingellost,eingelöst
beook-profil,beook profil
verwechslt,verwechseln
anmeldungsdat,anmeldung
entregistri,abmelden
.gerateanzahl,geräteanzahl
aussschliess,ausschliessen
benutzernamen.xxx,benutzernamen
ressourcenmonitor,ressourcen monitor
automobilgewerb,automobil gewerbe
keiknzugeidf,kein zugriff
freundliche,freundlich
jezt,jetzt
requested,anfordern
berit,bereit
einschik,einschicken
ika-lehrerein,lehrerin
isch,ist
ahb,ab
linzenzentfern,lizenz entfernen
einschrieb,einschreiben
funktioniet,funktionieren
ignoriert.,ignorieren
seiennumm,seriennummer
kostenwes,kosten
samsungnotebook,samsung notebook
ensteht,entsteht
kien,kein
beok,beook
mac-adress,mac addresse
nierg,niedrig
kapput,kaputt
..die,die
aspiration,aspiration
