Ticket Nr.,Ticket type,Mandant,ticket_creator=3 // response=1,Ticket text,Ticket state,META Data
2019030563000120,Fehler in der App,SVBA,3,Ich kann die Bilder in übungen nicht Bearbeiten. Ich habe das Beook schonn mit einem Zeichnungsprogramm verknüpft und teilweise funktioniert es auch.,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2017-08-23 08:10:55 MESZ | Last install: 2019-01-08 15:14:07 MEZ | Application starts: 86 | Unique Device : a8258d5d126ad976bba3b973f39a11d0 | 
2019030563000120,Fehler in der App,SVBA,1,Wir haben Ihre Support-Anfrage erhalten besten Dank. Damit wir das Problem besser eingrenzen können bitten wir Sie um Ihre Mithilfe. Wann tritt der Fehler auf? Ist dies ein neues Problem seit kurzem oder schon länger. Falls Sie kürzlich die App aktualisiert haben gibt es den Fehler erst seit der neuen Version? Können Sie das Problem mit einer bestimmten Stelle im ebook in Verbindung bringen? Oder erfolgt das Problem bei allen Inhalten gleich? Welche Version von welchem Zeichnungsprogramm benutzen Sie? Können Sie die Bilder nicht mit dem Zeichnungsprogramm öffnen oder liegt der Fehler beim Speichern der Annotationen? Bitte schildern Sie uns das genaue Verhalten. Falls es mit dem Speichern der Inhalte zusammenhängt geschieht dies für alle Inhalte oder nur diejenigen welche Sie als letztes bearbeitet haben. Bitte versuchen Sie die obigen Fragen möglichst genau zu beantworten und verfahren Sie wie folgt: - Dokumentieren Sie bitte das Problem indem Sie Bildschirm-Fotos erstellen die den Zustand vor und nach dem Problem zeigen. - Notieren Sie die Zeit wann Sie jeweils die Screenshots erstellt haben. - Senden Sie danach bitte noch einmal eine neue Supportanfrage so erhalten wir eine neue Protokoll-Datei. Sie können im Text auf diese Ticket-Nummer verweisen indem Sie einfach die Nummer hineinkopieren - Sie erhalten danach eine Bestätigungsmeldung - Antworten Sie nun auf diese Meldung und senden uns bitte die zuvor erstellten Screenshots jeweils mit der Angabe um welche Zeit Sie diese erstellt haben. So können wir versuchen das Problem zu analysieren und Ihnen eine Lösung zu bieten. Besten Dank. Freundliche Grüsse Frank Flück ionesoft GmbH 2nd Level Support  Sie können auf diese E-Mail antworten um weitere Informationen oder einen Screenshot des Problems zu übermitteln. Bitte verändern Sie dabei und beim Antworten auf E-Mails von uns nicht den Betreff.  05/03/2019 14:38 - xxx@xxx.xx wrote: Guten Tag Ich kann die Bilder in übungen nicht Bearbeiten. Ich habe das Beook schonn mit einem Zeichnungsprogramm verknüpft und teilweise funktioniert es auch.,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2017-08-23 08:10:55 MESZ | Last install: 2019-01-08 15:14:07 MEZ | Application starts: 86 | Unique Device : a8258d5d126ad976bba3b973f39a11d0 | 
2019030563000020,Fehler in der App,SVBA,3,Bei mir erscheinen eingefügte Bilder im Fachrechnungsbuch 5.2 In dem hinzugefügten Abschnitt nur noch weiss mit einem schwarzen Rahmen. Und in dieses suport feld kann ich kein Screenhot einfügen,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-08-20 11:07:40 MESZ | Last install: 2019-01-05 19:31:54 MEZ | Application starts: 111 | Unique Device : 5d97f021f4b0937be62dc85900f27fe1 | 
2019030563000020,Fehler in der App,SVBA,1,Damit wir das Problem besser eingrenzen können bitten wir Sie um Ihre Mithilfe. Dokumentieren Sie bitte das Problem indem Sie Bildschirm-Fotos erstellen und uns diese als Antwort auf diese Mail zusenden. So können wir versuchen das Problem zu analysieren und Ihnen eine Lösung zu bieten. Besten Dank. Freundliche Grüsse Milan Gottardi ionesoft GmbH 2nd Level Support  Sie können auf diese E-Mail antworten um weitere Informationen oder einen Screenshot des Problems zu übermitteln. Bitte verändern Sie dabei und beim Antworten auf E-Mails von uns nicht den Betreff.  05.03.2019 08:30 - xxx@xxx.xx schrieb: Mit einer detaillierten Fehlerbeschreibung helfen Sie uns diese App weiter zu verbessern. 1. Bitte wählen Sie die Art des Fehlers in der Auswahlliste aus und ergänzen Sie den Text in diesem Fenster. 2. Mit Ihrer Anfrage senden Sie eine Logdatei die neben einem Fehlerprotokoll auch Daten über Ihr Gerät enthält. 3. Weitere Informationen wie Screenshots können Sie als Antwort auf das Bestätigungsmail übermitteln. 4. Sollten Sie kein Bestätigungsmail erhalten dann prüfen Sie bitte Ihre Email Adresse und senden gegebenenfalls nochmals eine Support-Anfrage. Bei mir erscheinen eingefügte Bilder im Fachrechnungsbuch 5.2 In dem hinzugefügten Abschnitt nur noch weiss mit einem schwarzen Rahmen. Und in dieses suport feld kann ich kein Screenhot einfügen Gruss Manuel,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-08-20 11:07:40 MESZ | Last install: 2019-01-05 19:31:54 MEZ | Application starts: 111 | Unique Device : 5d97f021f4b0937be62dc85900f27fe1 | 
2019030463000110,Fehler in der App,FOMA,1,Besten Dank für Ihre Support-Anfrage. Wir vermuten dass Ihr Lehrmittel PP eine fehlerhafte Aktualisierung installiert hat. Sie können dies beheben in dem Sie das Lehrmittel neu installieren. Laden Sie das ebook nochmals neu. Dies können Sie mit diesen Schritten tun: - Gehen Sie ins Portal der App indem Sie auf das Haus-Symbol oben links drücken. - Sie sehen hier eine Liste ihrer installierten oder lizenzierten ebooks. Wählen Sie das gewünschte ebook in der Liste aus und klicken Sie auf die Zeile. - Es öffnet sich eine Detailansicht. - Sie können nun auf «Löschen» klicken. Ihre bereits gemachten Annotationen und Übungen werden so nicht gelöscht. - Nun klicken Sie wieder auf «Installieren». - Prüfen Sie nun ob alles in Ordnung ist indem Sie auf das ebook in der Seitenleiste klicken. Achten Sie auf eine ausreichende Netzwerkverbindung damit alle Inhalte in die App geladen werden können. Danach benötigen Sie keine Internetverbindung mehr für die Nutzung der App. Bitte überprüfen Sie anschliessend ob die Daten an genannter Stelle nun gespeichert werden. Sollte es immer noch nicht klappen dann senden Sie bitte nochmals eine neue Support-Anfrage damit wir die Protokoll-Datei auswerten können und Ihnen weiter helfen können. Bitte senden Sie zudem einige Bildschirmfotos welche das Problem dokumentieren. Diese können Sie auf die Antwort des Bestätigungsmails übermitteln.   Freundliche Grüsse Frank Flück ionesoft GmbH 2nd Level Support  Sie können auf diese E-Mail antworten um weitere Informationen oder einen Screenshot des Problems zu übermitteln. Bitte verändern Sie dabei und beim Antworten auf E-Mails von uns nicht den Betreff.  04/03/2019 13:24 - xxx@xxx.xx wrote: Lückentexte weg Daten verloren gegangen von PP 1.3.3 von Rabatt,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-10-29 12:12:15 MEZ | Last install: 2019-01-20 19:14:39 MEZ | Application starts: 25 | Unique Device : f7b819fb8040adcccf71a4902850cf25 | 
2019030463000110,Fehler in der App,FOMA,3,Lückentexte weg Daten verloren gegangen von PP 1.3.3 von Rabatt,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-10-29 12:12:15 MEZ | Last install: 2019-01-20 19:14:39 MEZ | Application starts: 25 | Unique Device : f7b819fb8040adcccf71a4902850cf25 | 
2019030463000100,Fehler in der App,FOMA,1,Besten Dank für Ihre Support-Anfrage. Wir vermuten dass Ihr Lehrmittel PP eine fehlerhafte Aktualisierung installiert hat. Sie können dies beheben in dem Sie das Lehrmittel neu installieren. Laden Sie das ebook nochmals neu. Dies können Sie mit diesen Schritten tun: - Gehen Sie ins Portal der App indem Sie auf das Haus-Symbol oben links drücken. - Sie sehen hier eine Liste ihrer installierten oder lizenzierten ebooks. Wählen Sie das gewünschte ebook in der Liste aus und klicken Sie auf die Zeile. - Es öffnet sich eine Detailansicht. - Sie können nun auf «Löschen» klicken. Ihre bereits gemachten Annotationen und Übungen werden so nicht gelöscht. - Nun klicken Sie wieder auf «Installieren». - Prüfen Sie nun ob alles in Ordnung ist indem Sie auf das ebook in der Seitenleiste klicken. Achten Sie auf eine ausreichende Netzwerkverbindung damit alle Inhalte in die App geladen werden können. Danach benötigen Sie keine Internetverbindung mehr für die Nutzung der App. Bitte überprüfen Sie anschliessend ob die Daten an genannter Stelle nun gespeichert werden. Sollte es immer noch nicht klappen dann senden Sie bitte nochmals eine neue Support-Anfrage damit wir die Protokoll-Datei auswerten können und Ihnen weiter helfen können. Bitte senden Sie zudem einige Bildschirmfotos welche das Problem dokumentieren. Diese können Sie auf die Antwort des Bestätigungsmails übermitteln.   Freundliche Grüsse Frank Flück ionesoft GmbH 2nd Level Support  Sie können auf diese E-Mail antworten um weitere Informationen oder einen Screenshot des Problems zu übermitteln. Bitte verändern Sie dabei und beim Antworten auf E-Mails von uns nicht den Betreff.  04/03/2019 13:24 - xxx@xxx.xx wrote: Lückentexte weg Daten verloren PP1.3.3 - Rabatt,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2017-09-12 09:04:23 BST | Last install: 2019-01-21 15:41:16 MEZ | Application starts: 97 | Unique Device : e46671472dcb5731ce2f131f4f0f1c7f | 
2019030463000060,Fehler in der App,FOMA,1,Besten Dank für Ihre Support-Anfrage. Wir vermuten dass Ihr Lehrmittel PP eine fehlerhafte Aktualisierung installiert hat. Sie können dies beheben in dem Sie das Lehrmittel neu installieren. Laden Sie das ebook nochmals neu. Dies können Sie mit diesen Schritten tun: - Gehen Sie ins Portal der App indem Sie auf das Haus-Symbol oben links drücken. - Sie sehen hier eine Liste ihrer installierten oder lizenzierten ebooks. Wählen Sie das gewünschte ebook in der Liste aus und klicken Sie auf die Zeile. - Es öffnet sich eine Detailansicht. - Sie können nun auf «Löschen» klicken. Ihre bereits gemachten Annotationen und Übungen werden so nicht gelöscht. - Nun klicken Sie wieder auf «Installieren». - Prüfen Sie nun ob alles in Ordnung ist indem Sie auf das ebook in der Seitenleiste klicken. Achten Sie auf eine ausreichende Netzwerkverbindung damit alle Inhalte in die App geladen werden können. Danach benötigen Sie keine Internetverbindung mehr für die Nutzung der App. Bitte überprüfen Sie anschliessend ob die Daten an genannter Stelle nun gespeichert werden. Sollte es immer noch nicht klappen dann senden Sie bitte nochmals eine neue Support-Anfrage damit wir die Protokoll-Datei auswerten können und Ihnen weiter helfen können. Bitte senden Sie zudem einige Bildschirmfotos welche das Problem dokumentieren. Diese können Sie auf die Antwort des Bestätigungsmails übermitteln.   Freundliche Grüsse Frank Flück ionesoft GmbH 2nd Level Support  Sie können auf diese E-Mail antworten um weitere Informationen oder einen Screenshot des Problems zu übermitteln. Bitte verändern Sie dabei und beim Antworten auf E-Mails von uns nicht den Betreff.  04/03/2019 13:24 - xxx@xxx.xx wrote: Lückentexte weg - Daten verloren. PP 1.3.3 - Rabatt,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2017-09-12 08:20:48 MESZ | Last install: 2019-01-21 15:42:19 MEZ | Application starts: 240 | Unique Device : fefedcc749b7d44c340b0cbd8e636b7d | 
2019022863000120,Geräteanzahl überschritten,IONESOFT,1,,closed_waiting_for_reply,App: beook 5410 | Model: 8 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10143 | First install: 2018-11-22 19:24:54 MEZ | Last install: 2018-12-22 22:11:24 MEZ | Application starts: 47 | Unique Device : 340627c9070d382a00a1a60070f79cef | 
2019022863000110,Anmeldung / Aktivierung,AGVS,1,  Wir haben alle Ihre Geräte auf dem Lizenzserver ausgetragen. Sie können die App nochmals neu starten dann wird Ihr Gerät automatisch wieder registriert. Bei allfälligen Problemen senden Sie bitte eine neue Support-Anfrage damit wir die Protokoll-Datei prüfen können. Anderernfalls gehen wir davon aus dass sich Ihr Problem gelöst hat und schliessen das Ticket. Freundliche Grüsse Sabrina Hayoz ionesoft GmbH 28.02.2019 14:20 - xxx@xxx.xx schrieb: Bitte deaktivieren Sie dieses Gerät. Vielen Dank.  ,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPad | Platform: iPad53 | System Name: iOS | System Version: 12.1.1 | First install: 2018-11-22 11:11:53 MEZ | Application starts: 24 | Unique Device : 04ff9f27f995fd9b97a6bde91322c513 | UI Type: Extended | 
