ticket,type,client,issuer,inquiry,state,meta,answer
2019030563000120,Fehler in der App,SVBA,3,ich kann die bilder in übungen nicht bearbeiten. ich habe das beook schonn mit einem zeichnungsprogramm verknüpft und teilweise funktioniert es auch.,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2017-08-23 08:10:55 MESZ | Last install: 2019-01-08 15:14:07 MEZ | Application starts: 86 | Unique Device : a8258d5d126ad976bba3b973f39a11d0 | ,Fehlerbericht senden
2019030463000110,Fehler in der App,FOMA,3,lückentexte weg daten verloren gegangen von pp 1.3.3 von rabatt,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-10-29 12:12:15 MEZ | Last install: 2019-01-20 19:14:39 MEZ | Application starts: 25 | Unique Device : f7b819fb8040adcccf71a4902850cf25 | ,RICHM: Anleitung Anmeldung
2019022863000110,Anmeldung / Aktivierung,AGVS,3,bitte deaktivieren sie dieses gerät. vielen dank.,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPad | Platform: iPad53 | System Name: iOS | System Version: 12.1.1 | First install: 2018-11-22 11:11:53 MEZ | Application starts: 24 | Unique Device : 04ff9f27f995fd9b97a6bde91322c513 | UI Type: Extended | ,"Gerät entfernt, neu starten"
2019022863000100,Anmeldung / Aktivierung,BEOOK,3,diese sind meine aktivierungscodes: gesellschaft: 36837eb23e62 noch nicht aktiv und ich hatte noch ein lehrmittel vom garten aber der code steht nirgends,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPhone | Platform: iPhone104 | System Name: iOS | System Version: 11.3.1 | First install: 2019-02-28 11:45:33 MEZ | Application starts: 0 | Unique Device : a69b6e637ce8b8c56c381fe7f5263c9e | UI Type: Simple ? | ,beook: Neue Version installieren RCP
2019022863000020,Geräteanzahl überschritten,BEOOK,3,ich habe einen neuen laptop und möchte den alten zurücksetzen damit ich das e-lehrmittel auf meinem neuen gerät freischalten kann. können sie mir helfen? vielen dank!,closed successful,App: beook 5.5.0 | Model: 2 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2019-02-28 08:20:12 MEZ | Last install: | Application starts: 3 | Unique Device : 190d4a43f5b0253370f87ad723c37cf8 | ,"Gerät entfernt, neu starten"
2019022763000080,Geräteanzahl überschritten,BEOOK,3,offenbar habe ich die geräteanzahl überschritten. ich habe einen neuen laptop gekauft und möchte mit dem fachkundebuch auf dem neuen laptop arbeiten. was muss ich nun machen damit ich zugriff habe? vielen dank für ihr feedback. freundliche grüsse,closed successful,App: beook 5.5.0 | Model: 8 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-05-08 10:27:02 MESZ | Last install: 2019-02-25 13:55:50 MEZ | Application starts: 23 | Unique Device : d5c65fa3a1c586088a8b7196df12e3dc | ,"Gerät entfernt, neu starten"
2019022763000010,Fehler in der App,SVBA,3,zeichnungen werden vom inkscape manchmal nicht übernommen ausserdem verschwinden viele ausgefüllte sachen trotz der synchronisierung der cloud,closed successful,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2017-09-10 20:38:17 MESZ | Last install: 2019-01-09 08:36:24 MEZ | Application starts: 147 | Unique Device : 412e4ea893bc1d2cbb37fe14994620de | ,Inkscape Windows-Store Version
2019022663000110,Fehler in der App,SVBA,3,ich habe einen anzeige fehler bei mehreren büchern. mir wird auch duch mehrmaliges aktualisieren keine informationen bzw. die azfaben die im buch sind angezeigt. ist es möglich das ich dies selber beheben kann? freundliche grüsse,closed successful,App: beook 5.5.0 | Model: 2 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-08-20 18:45:25 MESZ | Last install: 2019-01-08 14:36:42 MEZ | Application starts: 44 | Unique Device : 6a1fc2d14e4ccfa0ec423b368bfcd819 | ,Fehlerbericht senden
2019022663000090,Geräteanzahl überschritten,SVBA,3,geräteanzahl wurde überrschritten ohne dass ein anderes gerät verwendet wird.,closed successful,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2019-02-26 14:09:05 MEZ | Last install: | Application starts: 2 | Unique Device : fb186559fece5ee04949f5929b841bcb | ,"Gerät entfernt, neu starten"
2019022563000070,Geräteanzahl überschritten,DIHK,3,hab mir einen neuen laptop gekauft und da steht geräteanzahl überschritten. können sie mir helfen?,closed successful,App: IHK lernen mobil 5.5.1 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2019-02-25 18:45:30 MEZ | Last install: | Application starts: 4 | Unique Device : 9c8faad1eb034704cd30fd1a75a7ce6b | ,"Gerät entfernt, neu starten"
