ticket,type,client,issuer,inquiry,state,meta,answer
2019030563000120,Fehler in der App,SVBA,3,ich kann die bilder in übungen nicht bearbeiten. ich habe das beook schonn mit einem zeichnungsprogramm verknüpft und teilweise funktioniert es auch.,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2017-08-23 08:10:55 MESZ | Last install: 2019-01-08 15:14:07 MEZ | Application starts: 86 | Unique Device : a8258d5d126ad976bba3b973f39a11d0 | ,wir haben ihre support-anfrage erhalten besten dank. damit wir das problem besser eingrenzen können bitten wir sie um ihre mithilfe. wann tritt der fehler auf? ist dies ein neues problem seit kurzem oder schon länger. falls sie kürzlich die app aktualisiert haben gibt es den fehler erst seit der neuen version? können sie das problem mit einer bestimmten stelle im ebook in verbindung bringen? oder erfolgt das problem bei allen inhalten gleich? welche version von welchem zeichnungsprogramm benutzen sie? können sie die bilder nicht mit dem zeichnungsprogramm öffnen oder liegt der fehler beim speichern der annotationen? bitte schildern sie uns das genaue verhalten. falls es mit dem speichern der inhalte zusammenhängt geschieht dies für alle inhalte oder nur diejenigen welche sie als letztes bearbeitet haben. bitte versuchen sie die obigen fragen möglichst genau zu beantworten und verfahren sie wie folgt: - dokumentieren sie bitte das problem indem sie bildschirm-fotos erstellen die den zustand vor und nach dem problem zeigen. - notieren sie die zeit wann sie jeweils die screenshots erstellt haben. - senden sie danach bitte noch einmal eine neue supportanfrage so erhalten wir eine neue protokoll-datei. sie können im text auf diese ticket-nummer verweisen indem sie einfach die nummer hineinkopieren - sie erhalten danach eine bestätigungsmeldung - antworten sie nun auf diese meldung und senden uns bitte die zuvor erstellten screenshots jeweils mit der angabe um welche zeit sie diese erstellt haben. so können wir versuchen das problem zu analysieren und ihnen eine lösung zu bieten. besten dank. freundliche grüsse frank flück ionesoft gmbh 2nd level support  sie können auf diese e-mail antworten um weitere informationen oder einen screenshot des problems zu übermitteln. bitte verändern sie dabei und beim antworten auf e-mails von uns nicht den betreff.  05/03/2019 14:38 - xxx@xxx.xx wrote: guten tag ich kann die bilder in übungen nicht bearbeiten. ich habe das beook schonn mit einem zeichnungsprogramm verknüpft und teilweise funktioniert es auch.
2019030563000020,Fehler in der App,SVBA,3,bei mir erscheinen eingefügte bilder im fachrechnungsbuch 5.2 in dem hinzugefügten abschnitt nur noch weiss mit einem schwarzen rahmen. und in dieses suport feld kann ich kein screenhot einfügen,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-08-20 11:07:40 MESZ | Last install: 2019-01-05 19:31:54 MEZ | Application starts: 111 | Unique Device : 5d97f021f4b0937be62dc85900f27fe1 | ,damit wir das problem besser eingrenzen können bitten wir sie um ihre mithilfe. dokumentieren sie bitte das problem indem sie bildschirm-fotos erstellen und uns diese als antwort auf diese mail zusenden. so können wir versuchen das problem zu analysieren und ihnen eine lösung zu bieten. besten dank. freundliche grüsse milan gottardi ionesoft gmbh 2nd level support  sie können auf diese e-mail antworten um weitere informationen oder einen screenshot des problems zu übermitteln. bitte verändern sie dabei und beim antworten auf e-mails von uns nicht den betreff.  05.03.2019 08:30 - xxx@xxx.xx schrieb: mit einer detaillierten fehlerbeschreibung helfen sie uns diese app weiter zu verbessern. 1. bitte wählen sie die art des fehlers in der auswahlliste aus und ergänzen sie den text in diesem fenster. 2. mit ihrer anfrage senden sie eine logdatei die neben einem fehlerprotokoll auch daten über ihr gerät enthält. 3. weitere informationen wie screenshots können sie als antwort auf das bestätigungsmail übermitteln. 4. sollten sie kein bestätigungsmail erhalten dann prüfen sie bitte ihre email adresse und senden gegebenenfalls nochmals eine support-anfrage. bei mir erscheinen eingefügte bilder im fachrechnungsbuch 5.2 in dem hinzugefügten abschnitt nur noch weiss mit einem schwarzen rahmen. und in dieses suport feld kann ich kein screenhot einfügen gruss manuel
2019030463000110,Fehler in der App,FOMA,3,lückentexte weg daten verloren gegangen von pp 1.3.3 von rabatt,closed_waiting_for_reply,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-10-29 12:12:15 MEZ | Last install: 2019-01-20 19:14:39 MEZ | Application starts: 25 | Unique Device : f7b819fb8040adcccf71a4902850cf25 | ,besten dank für ihre support-anfrage. wir vermuten dass ihr lehrmittel pp eine fehlerhafte aktualisierung installiert hat. sie können dies beheben in dem sie das lehrmittel neu installieren. laden sie das ebook nochmals neu. dies können sie mit diesen schritten tun: - gehen sie ins portal der app indem sie auf das haus-symbol oben links drücken. - sie sehen hier eine liste ihrer installierten oder lizenzierten ebooks. wählen sie das gewünschte ebook in der liste aus und klicken sie auf die zeile. - es öffnet sich eine detailansicht. - sie können nun auf «löschen» klicken. ihre bereits gemachten annotationen und übungen werden so nicht gelöscht. - nun klicken sie wieder auf «installieren». - prüfen sie nun ob alles in ordnung ist indem sie auf das ebook in der seitenleiste klicken. achten sie auf eine ausreichende netzwerkverbindung damit alle inhalte in die app geladen werden können. danach benötigen sie keine internetverbindung mehr für die nutzung der app. bitte überprüfen sie anschliessend ob die daten an genannter stelle nun gespeichert werden. sollte es immer noch nicht klappen dann senden sie bitte nochmals eine neue support-anfrage damit wir die protokoll-datei auswerten können und ihnen weiter helfen können. bitte senden sie zudem einige bildschirmfotos welche das problem dokumentieren. diese können sie auf die antwort des bestätigungsmails übermitteln.   freundliche grüsse frank flück ionesoft gmbh 2nd level support  sie können auf diese e-mail antworten um weitere informationen oder einen screenshot des problems zu übermitteln. bitte verändern sie dabei und beim antworten auf e-mails von uns nicht den betreff.  04/03/2019 13:24 - xxx@xxx.xx wrote: lückentexte weg daten verloren gegangen von pp 1.3.3 von rabatt
2019022863000110,Anmeldung / Aktivierung,AGVS,3,bitte deaktivieren sie dieses gerät. vielen dank.,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPad | Platform: iPad53 | System Name: iOS | System Version: 12.1.1 | First install: 2018-11-22 11:11:53 MEZ | Application starts: 24 | Unique Device : 04ff9f27f995fd9b97a6bde91322c513 | UI Type: Extended | ,  wir haben alle ihre geräte auf dem lizenzserver ausgetragen. sie können die app nochmals neu starten dann wird ihr gerät automatisch wieder registriert. bei allfälligen problemen senden sie bitte eine neue support-anfrage damit wir die protokoll-datei prüfen können. anderernfalls gehen wir davon aus dass sich ihr problem gelöst hat und schliessen das ticket. freundliche grüsse sabrina hayoz ionesoft gmbh 28.02.2019 14:20 - xxx@xxx.xx schrieb: bitte deaktivieren sie dieses gerät. vielen dank.  
2019022863000100,Anmeldung / Aktivierung,BEOOK,3,diese sind meine aktivierungscodes: gesellschaft: 36837eb23e62 noch nicht aktiv und ich hatte noch ein lehrmittel vom garten aber der code steht nirgends,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPhone | Platform: iPhone104 | System Name: iOS | System Version: 11.3.1 | First install: 2019-02-28 11:45:33 MEZ | Application starts: 0 | Unique Device : a69b6e637ce8b8c56c381fe7f5263c9e | UI Type: Simple ? | ,guten tag corina gisler besten dank für ihre anfrage. ich konnte leider unter folgenden e-mailadressen keinen benutzer finden:\xxx@xxx.xx\xxx@xxx.xx da sie ihre aktivierungscodes noch nicht eingelöst haben empfehle ich ihnen ein neues konto zu erstellen. falls sie danach weiterhin probleme haben sollten senden sie bitte erneut eine support-anfrage. freundliche grüsse sabrina hayoz ionesoft gmbh 28.02.2019 12:33 - xxx@xxx.xx schrieb: ich kann mich nicht mehr anmelden. diese sind meine aktivierungscodes: gesellschaft: 36837eb23e62 noch nicht aktiv und ich hatte noch ein lehrmittel vom garten aber der code steht nirgends  
2019022863000050,Anmeldung / Aktivierung,hep,3,lösungen können nicht angeschaut werden,closed_waiting_for_reply,App: eLehrmittel 5.4.6 | Model: 8 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-08-21 13:59:59 MESZ | Last install: 2018-11-08 10:24:45 MEZ | Application starts: 27 | Unique Device : e0d36407861e0380cc236a6a83577010 | ,vielen dank für ihre support-anfrage. könnten sie uns noch ihr technisches problem schildern damit wir ihnen weiterhelfen können? besten dank und freundliche grüsse hep support ihr hep support team ___________________  hep verlag ag gutenbergstrasse 31 postfach 3001 bern t 031 310 29 29 [1]www.hep-verlag.ch 28.02.2019 11:10 - xxx@xxx.xx schrieb: mit einer detaillierten fehlerbeschreibung helfen sie uns diese app weiter zu verbessern. 1. bitte wählen sie die art des fehlers in der auswahlliste aus und ergänzen sie den text in diesem fenster. 2. mit ihrer anfrage senden sie eine logdatei die neben einem fehlerprotokoll auch daten über ihr gerät enthält. lösungen können nicht angeschaut werden 3. weitere informationen wie screenshots können sie als antwort auf das bestätigungsmail übermitteln. 4. sollten sie kein bestätigungsmail erhalten dann prüfen sie bitte ihre email adresse und senden gegebenenfalls nochmals eine support-anfrage. [1] http://www.hep-verlag.ch/
2019022863000020,Geräteanzahl überschritten,BEOOK,3,ich habe einen neuen laptop und möchte den alten zurücksetzen damit ich das e-lehrmittel auf meinem neuen gerät freischalten kann. können sie mir helfen? vielen dank!,closed successful,App: beook 5.5.0 | Model: 2 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2019-02-28 08:20:12 MEZ | Last install: | Application starts: 3 | Unique Device : 190d4a43f5b0253370f87ad723c37cf8 | ,guten tag christofe paca wir haben alle ihre geräte auf dem lizenzserver ausgetragen. sie können die app nochmals neu starten dann wird ihr gerät automatisch wieder registriert. bei allfälligen problemen senden sie bitte eine neue support-anfrage damit wir die protokoll-datei prüfen können. anderernfalls gehen wir davon aus dass sich ihr problem gelöst hat und schliessen das ticket. freundliche grüsse sabrina hayoz ionesoft gmbh 28.02.2019 08:57 - xxx@xxx.xx schrieb: guten tag ich habe einen neuen laptop und möchte den alten zurücksetzen damit ich das e-lehrmittel auf meinem neuen gerät freischalten kann. können sie mir helfen? vielen dank! christofe paca
2019022763000080,Geräteanzahl überschritten,BEOOK,3,offenbar habe ich die geräteanzahl überschritten. ich habe einen neuen laptop gekauft und möchte mit dem fachkundebuch auf dem neuen laptop arbeiten. was muss ich nun machen damit ich zugriff habe? vielen dank für ihr feedback. freundliche grüsse,closed successful,App: beook 5.5.0 | Model: 8 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-05-08 10:27:02 MESZ | Last install: 2019-02-25 13:55:50 MEZ | Application starts: 23 | Unique Device : d5c65fa3a1c586088a8b7196df12e3dc | ,guten tag jean-claude zimmermann wir haben alle ihre geräte auf dem lizenzserver ausgetragen. sie können die app nochmals neu starten dann wird ihr gerät automatisch wieder registriert. bei allfälligen problemen senden sie bitte eine neue support-anfrage damit wir die protokoll-datei prüfen können. anderernfalls gehen wir davon aus dass sich ihr problem gelöst hat und schliessen das ticket. freundliche grüsse sabrina hayoz ionesoft gmbh 27.02.2019 14:41 - xxx@xxx.xx schrieb: sehr geehrte damen und herren offenbar habe ich die geräteanzahl überschritten. ich habe einen neuen laptop gekauft und möchte mit dem fachkundebuch auf dem neuen laptop arbeiten. was muss ich nun machen damit ich zugriff habe? vielen dank für ihr feedback. freundliche grüsse jean-claude zimmermann
2019022763000070,Anmeldung / Aktivierung,hep,3,das problem können wir nicht beheben da die elehrmittel nicht mehr erscheinen und kein download möglich ist. vielen dank für die hilfe.,closed_waiting_for_reply,App: eLehrmittel 5.4.6 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.12.6 | First install: 2018-08-08 09:16:13 MESZ | Last install: 2019-02-13 12:21:44 MEZ | Application starts: 32 | Unique Device : 5b83b9d141f65256bee349cc8a62e852 | ,per mail geantwortet/warte auf antwort.
2019022763000040,Anmeldung / Aktivierung,VELEDESLK,3,wenn ich mich anmelde und den aktivierungscode eingeben muss steht dass ungültig ist. mein aktivierungscode ist: 8cur-mstc-8joe.,open,User account exists: Yes | | App: VELEDESLK v1.2.1 | Jailbroken: No | Model: iPhone | Platform: iPhone105 | System Name: iOS | System Version: 12.1.3 | First install: 2019-02-27 10:25:27 MEZ | Application starts: 0 | Unique Device : a310dc7a2d8f3bf06038f3f0d734ac1d | UI Type: Simple ? | ,guten tag maica schifa vielen dank für ihre nachricht. ihr registrierungscode 8cur-mstc-8joe  ist für das sbk lehrmittel. sie haben jedoch die veledes lernkarten heruntergeladen. dort funktioniert dieser code nicht. den aktivierungscode für das lernkartenapp müssen sie kostenpflichtig erwerben. für ihren lizenzcode müssen sie das beook app herunterladen und sich mit dem bereits erstellten benutzername/ e-mail adresse anmelden. und danach ihren aktivierungscode einlösen. bei weiteren fragen dürfen sie sich gerne an uns wenden. freundliche grüsse veledes support veledes bildung 27.02.2019 13:06 - xxx@xxx.xx schrieb: wenn ich mich anmelde und den aktivierungscode eingeben muss steht dass ungültig ist. mein aktivierungscode ist: 8cur-mstc-8joe. ich warte auf ihre antwort.
